EPIC;ID User Story;Libellé User Story;MVP;Front_or_Back;Module;Dépend de (Parent);Type fonctionnel;Pilier(s);Profil utilisateur;Phrase méthode agile;Besoins testables
EPIC 1 – Gestion des données;US1.1;Importer des données via fichier;True;Front-end;Gestion des données & catalogue;;Acquisition;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux importer des données via fichier afin que la plateforme dispose de données fiables et homogènes.;"Étant donné un administrateur expert data connecté, Quand il importe un fichier CSV conforme au modèle attendu (en-têtes, types, unités), Alors les données sont enregistrées dans la plateforme, Et un message de succès indique le nombre de lignes chargées, Et le jeu de données apparaît dans le catalogue comme donnée source.
Étant donné un fichier au format SIG (Shapefile, GeoJSON), Quand il est importé, Alors les géométries sont validées et converties dans le système de coordonnées de référence de la plateforme, Et les enregistrements invalides sont rejetés avec leur motif.
Étant donné un fichier contenant des doublons (même identifiant captage et même date), Quand l'import est lancé, Alors les doublons sont détectés et signalés, Et aucun doublon n'est enregistré sans validation explicite de l'administrateur.
Étant donné un import volumineux ou long, Quand l'import est lancé, Alors il s'exécute de manière asynchrone avec un statut visible (en cours / terminé / échec), sans bloquer les autres actions de l'administrateur.
Étant donné un fichier non conforme (extension non supportée, colonnes obligatoires manquantes), Quand l'administrateur tente l'import, Alors l'import est refusée et un message d'erreur explicite liste les anomalies détectées."
EPIC 1 – Gestion des données;US1.2;Connecter une API externe;False;Front-end;Gestion des données & catalogue;;Acquisition;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux connecter une API externe afin d'alimenter la plateforme sans fichier.;
EPIC 1 – Gestion des données;US1.3;Planifier des imports simples;True;Backend;Gestion des données & catalogue;US1.1;Acquisition;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux planifier des imports simples afin que les données soient actualisées automatiquement.;"Étant donné une source de données fichier, Quand l'administrateur définit une planification (fréquence journalière, hebdomadaire, mensuelle, heure d'exécution), Alors l'import est exécuté automatiquement à l'échéance prévue, Et chaque exécution est tracée (date, heure, source, résultat, volumétrie). - Quand un import planifié échoue, Alors son statut passe à « échec », l'événement est journalisé avec le motif, Et les exécutions suivantes restent programmées. - Quand la planification est modifiée ou supprimée, Alors seules les nouvelles exécutions respectent la configuration courante, les exécutions déjà tracées restant inchangées. - Quand deux imports planifiés se chevauchent, Alors le système les sérialise ou refuse le chevauchement sans perte de données.
Étant donné un import planifié sans fichier source disponible à l'échéance, Alors l'exécution est signalée en échec avec un motif explicite, Et aucune donnée partielle ou vide n'est enregistrée."
EPIC 1 – Gestion des données;US1.4;Normaliser les données;True;Backend;Gestion des données & catalogue;US1.1;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux normaliser les données afin qu'elles soient homogènes et comparables.;"Étant donné des données brutes hétérogènes (unités, formats de date, nomenclatures), Quand elles sont intégrées, Alors elles sont converties selon les règles de normalisation de la plateforme (unités de référence, dates ISO 8601, identifiants des référentiels), Et chaque transformation est documentée et tracée.
Étant donné une valeur référant à un captage ou un BVAEP, Quand la normalisation s'exécute, Alors la valeur est rattachée à l'objet correspondant du référentiel, Et toute valeur non rattachable est signalée en anomalie sans bloquer le reste du jeu.
Étant donné une valeur numérique hors plage ou un format inattendu, Quand la normalisation échoue pour cette ligne, Alors la ligne est marquée « non normalisée », Et le reste du jeu est traité sans blocage global. - Quand aucune règle de normalisation n'existe pour une colonne obligatoire, Alors l'import est refusée avec un message renvoyant vers la configuration de la source. - Quand un jeu de données normalisé est réimporté, Alors les mêmes règles produisent les mêmes valeurs (reproductibilité de la normalisation)."
EPIC 1 – Gestion des données;US1.5;Gérer les erreurs d'import;True;Front-end;Gestion des données & catalogue;US1.1;Acquisition;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux gérer les erreurs d'import afin de corriger les données rejetées efficacement.;"Étant donné un fichier CSV contenant 3 lignes invalides sur 100, Quand l'import est exécuté, Alors un rapport d'erreurs est généré listant les 3 lignes avec leur motif de rejet, Et les 97 lignes valides sont enregistrées. - Quand l'administrateur ouvre le rapport d'erreurs, Alors il voit pour chaque erreur le numéro de ligne, la valeur en cause et le motif (type, plage, rattachement référentiel, doublon).
Étant donné un fichier entièrement invalide, Quand aucun enregistrement ne passe les contrôles, Alors l'import est refusée dans sa globalité et aucun enregistrement n'est créé. - Quand un import se termine avec des rejets, Alors un message d'alerte informe l'administrateur du nombre d'enregistrements rejetés, avec un lien vers le rapport d'erreurs.
Étant donné un fichier corrigé après un rejet, Quand l'administrateur relance l'import, Alors seules les nouvelles anomalies sont signalées, les lignes précédemment corrigées n'apparaissant plus dans le rapport."
EPIC 1 – Gestion des données;US1.6;Historiser les données;True;Backend;Gestion des données & catalogue;US1.1;Gouvernance;Transverse (socle);Administrateur expert data;En tant qu'administrateur expert data, je veux historiser les données afin de reconstituer leur évolution dans le temps.;"Étant donné un jeu de données déjà importé, Quand un nouvel import met à jour ce jeu, Alors une nouvelle version est créée, Et les versions antérieures sont intégralement conservées et consultables. - Quand une donnée est modifiée ou supprimée, Alors l'historisation conserve l'intégralité des versions antérieures : aucune valeur écrasée n'est perdue.
Étant donné une date de référence, Quand l'administrateur interroge l'historique, Alors il peut reconstituer l'état du jeu de données tel qu'il existait à cette date. - Quand une nouvelle version est enregistrée, Alors son horodatage, sa source et le traitement d'origine sont tracés. - Quand une opération de réécriture est demandée, Alors aucune donnée existante n'est écrasée sans création préalable d'une nouvelle version (aucune suppression destructive). ### EPIC 1bis — Catalogage des données"
EPIC 1 – Gestion des données;US1.7;Rejouer un traitement;False;Backend;Gestion des données & catalogue;;Acquisition;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux rejouer un traitement afin de recalculer un jeu de données après correction.;
EPIC 1bis – Catalogage des données;US1bis.1;Enregistrer un jeu de données dans le catalogue;True;Front-end;Gestion des données & catalogue;US1.2;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux enregistrer un jeu de données dans le catalogue afin qu'il soit référencé et trouvable.;"Étant donné un jeu de données intégré dans la plateforme, Quand l'administrateur l'enregistre dans le catalogue, Alors il reçoit un identifiant unique de catalogue, Et il devient visible et trouvable dans la liste du catalogue. - Quand un jeu de données est enregistré, Alors les champs obligatoires suivants sont renseignés et validés : nom, fournisseur, date de mise à jour, licence ; l'enregistrement est refusé tant qu'ils sont manquants.
Étant donné un identifiant de catalogue déjà utilisé, Quand l'administrateur tente d'enregistrer un autre jeu avec cet identifiant, Alors l'enregistrement est refusée et un message explicite s'affiche. - Quand un jeu de données enregistré est mis à jour (nouvel import), Alors la fiche du catalogue reste liée à la version courante du jeu.
Étant donné un jeu de données non encore intégré, Quand l'administrateur tente de l'enregistrer, Alors l'enregistrement est refusée : le catalogue ne référence que des données réellement disponibles dans la plateforme."
EPIC 1bis – Catalogage des données;US1bis.2;Associer des métadonnées à un jeu de données;True;Front-end;Gestion des données & catalogue;US1bis.1;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux associer des métadonnées à un jeu de données afin d'en documenter l'origine et la structure.;"Étant donné un jeu de données du catalogue, Quand l'administrateur renseigne ses métadonnées, Alors les métadonnées obligatoires sont enregistrées : nom, fournisseur, date de mise à jour, licence ; Et le système refuse l'enregistrement tant qu'elles sont manquantes. - Quand des métadonnées descriptives sont saisies (origine, couverture spatiale et temporelle, unités, fréquence de mise à jour, contact), Alors elles sont structurées selon un schéma commun et affichées sur la fiche du jeu de données.
Étant donné un jeu de données géographique, Quand ses métadonnées sont saisies, Alors le système de coordonnées et la couverture spatiale (communes, BVAEP concernés) sont documentés. - Quand des métadonnées sont enregistrées, Alors la date et l'auteur de la saisie sont tracés.
Étant donné une licence non autorisée ou une date de mise à jour future, Quand l'enregistrement est tenté, Alors il est refusé avec un message d'erreur explicite."
EPIC 1bis – Catalogage des données;US1bis.3;Modifier les métadonnées d'un jeu de données;False;Front-end;Gestion des données & catalogue;US1bis.2;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux modifier les métadonnées afin de maintenir le catalogue à jour.;
EPIC 1bis – Catalogage des données;US1bis.4;Consulter les informations d'un jeu de données;True;Front-end;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux consulter les informations d'un jeu de données afin d'en connaître le contenu et la source.;"Étant donné un jeu de données du catalogue, Quand l'utilisateur ouvre sa fiche, Alors il voit son nom, son fournisseur, sa date de mise à jour, sa licence, sa couverture spatiale et temporelle, et son type (donnée source ou donnée dérivée). - Quand l'utilisateur consulte la fiche, Alors il voit la structure du jeu (champs, types, unités) et, si disponible, un aperçu du contenu.
Étant donné un jeu de données dérivé, Quand sa fiche est consultée, Alors elle affiche les données sources et les traitements dont il provient.
Étant donné un jeu de données sans licence renseignée, Quand sa fiche est consultée, Alors la mention « licence non renseignée » est affichée (aucune valeur par défaut trompeuse). - Quand la fiche est consultée depuis le catalogue, Alors l'utilisateur voit les métadonnées de qualité associées (EPIC 2) si elles existent."
EPIC 1bis – Catalogage des données;US1bis.5;Rechercher un jeu de données dans le catalogue;False;Front-end;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux rechercher un jeu de données afin de le retrouver rapidement dans le catalogue.;
EPIC 1bis – Catalogage des données;US1bis.6;Filtrer les jeux de données selon des critères;False;Front-end;Gestion des données & catalogue;;Structuration;Pilier 1 – Connaissance & Caractérisation;Administrateur expert data;En tant qu'administrateur expert data, je veux filtrer les jeux de données selon des critères afin de restreindre la liste du catalogue.;
