id;nom_indicateur;objectif
1;Capacité de production;Comparer la capacité des captages à fournir de l’eau en période contrainte afin d’identifier les ressources les plus robustes ou les plus limitées.
2;Longueur réseau;Comparer l’importance des infrastructures dépendantes de chaque captage afin d’identifier ceux dont la défaillance aurait le plus d’impact.
3;Capacité réservoir;Comparer la capacité de stockage associée aux captages afin d’identifier les systèmes les plus résilients face aux aléas.
4;Traitement;Comparer le niveau de sécurisation sanitaire des captages afin d’identifier ceux présentant des risques pour l’alimentation en eau potable.
5;Interconnexion;Comparer le niveau de dépendance des captages à une ressource unique afin d’identifier ceux pouvant bénéficier d’un secours.
6;Population desservie;Comparer les captages selon le nombre de personnes dépendantes afin d’identifier les ressources les plus stratégiques pour l’alimentation en eau.
7;Capacité secours;Indicateur exploratoire visant à comparer l’autonomie des systèmes, non retenu pour la comparaison multicritère principale.
8;Statut AODPE;Comparer les captages selon leur niveau de conformité réglementaire afin d’identifier les situations à risque.
9;Statut PPE;Comparer les captages selon leur niveau de protection afin d’identifier ceux les plus exposés aux pressions.
10;Type ouvrage;Comparer les captages selon leur vulnérabilité intrinsèque liée à leur nature.
11;Statut captage;Distinguer les captages selon leur usage afin de contextualiser leur importance dans la comparaison.
12;Surface érosion;Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.
13;Terrain nu;Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux transferts de polluants.
14;Glissement terrain;Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.
15;Incendies cumulés;Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux récemment perturbés.
16;Occupation sol;Comparer les bassins versants selon leur structure (forêt, urbain, agricole) afin d’identifier les pressions dominantes.
17;EEE;Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.
18;Activité minière;Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.
19;ICPE;Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.
20;Pollution accidentelle;Comparer les bassins versants selon la fréquence d’événements polluants afin d’identifier les zones à risque ponctuel.
21;Urbanisation;Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.
22;Habitations;Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.
23;IDPR;Comparer les bassins versants selon leur vulnérabilité intrinsèque afin d’identifier les zones les plus sensibles aux transferts.
24;Géologie;Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.
25;AODPE nombre;Comparer les captages selon le nombre de prélèvements afin d’évaluer la pression d’usage.
26;AODPE volume;Comparer les captages selon les volumes prélevés afin d’évaluer l’intensité de la pression quantitative.
27;BBR;Comparer les bassins versants selon l’équilibre ressource/besoins afin d’identifier les situations de tension ou de déficit.
28;Pluviométrie;Comparer les bassins versants selon les apports en eau afin de contextualiser la disponibilité de la ressource.
29;Qualité eau;Comparer les captages selon leur qualité afin d’identifier ceux nécessitant des actions de gestion ou de protection.
