table;attribut;libelle_affiche;description;rôle;glossaire;affichage;valeur
indicateurs;fiche_indicateur;Fiche n⁰;Numéro de la fiche indicateur;Documentation;non;;
indicateurs;id_indicateur;Identifiant de l’indicateur;Identifiant unique de l’indicateur dans le cadre du projet Hydroscope;identification;oui;tableau;"1–99 → Enjeux AEP
100–199 → Enjeux Environnementaux
200–299 → Pressions Environnementales
300–399 → Pressions Anthropiques
400–499 → Vulnérabilité
500–599 → Pressions Quantitatives 
600–699 → Pressions Qualitatives
"
indicateurs;Nom_theme;Thématique;Grande catégorie de regroupement métier facilitant la navigation et l'organisation du catalogue (ex: Enjeux AEP, Pressions Anthropiques).;identification;oui;tableau;"Enjeux AEP / Enjeux Environnementaux / Pressions Environnementales / Pressions Anthropiques / Vulnérabilité / Pressions Quantitatives / Pressions Qualitatives
"
indicateurs;famille_indicateur;Famille;Nature fondamentale de l'indicateur définissant son rôle dans le calcul du risque : Enjeu (valeur à protéger), Pression (menace active) ou Vulnérabilité (sensibilité intrinsèque).;identification;oui;tableau;"Enjeu / Pression / Vulnérabilité
"
indicateurs;nom_indicateur;Nom de l’indicateur;Nom court compréhensible pour identifier rapidement l’indicateur;identification;oui;titre;
indicateurs;description_indicateur;Description;Explication vulgarisée décrivant ce que l'indicateur mesure concrètement et comment il est perçu.;Documentation;non;introduction;
indicateurs;priorite;Priorité;L’indicateur est il considéré comme essentiel au projet;Pilotage;oui;section;Oui / non
indicateurs;unite;Unité;Unité de mesure physique (m3, km, ha) ou libellé de la classe qualitative (Oui/Non, A1/A2/A3) permettant de lire la valeur.;Analyse;oui;tableau;
indicateurs;objectif;Objectif;But précis de l'indicateur dans le processus de décision (ex: identifier les ressources les plus limitées en période sèche).;Pilotage;oui;section;
indicateurs;modalites;Modalités de traitement;Règles techniques et algorithmes utilisés pour transformer, agréger ou propager la donnée entre les différents supports spatiaux.;Transformation;oui;section;
indicateurs;support_spatial;Support spatial;Entité géographique de référence à laquelle la donnée est rattachée (Captage, Unité de Distribution, Bassin Versant ou Maille).;Analyse;oui;tableau;UD (Unité de Distribution) / Captage / Périmètre de protection / BV (Bassin versant) / maille (découpage cartographique régulier de type H3)
