id_indicateur;nom_indicateur;id_groupe;Sous-groupe d'objectif;id_groupe_V2;Sous-groupe d'objectif
1;Capacité de production;17;Robustesse et résilience technique;1;Robustesse et résilience technique
2;Longueur réseau;18;Poids stratégique de la desserte;2;Poids stratégique de la desserte
3;Capacité réservoir;18;Robustesse et résilience technique;1;Robustesse et résilience technique
4;Traitement;20;Sécurisation sanitaire et réglementaire;3;Sécurisation sanitaire et réglementaire
5;Interconnexion;19;Robustesse et résilience technique;1;Robustesse et résilience technique
6;Population desservie;17;Poids stratégique de la desserte;2;Poids stratégique de la desserte
7;Statut AODPE;20;Sécurisation sanitaire et réglementaire;3;Sécurisation sanitaire et réglementaire
8;Statut PPE;20;Sécurisation sanitaire et réglementaire;3;Sécurisation sanitaire et réglementaire
9;Type ouvrage;19;Vulnérabilité technique et contexte;4;Vulnérabilité technique et contexte
10;Statut captage;17;Vulnérabilité technique et contexte;4;Vulnérabilité technique et contexte
11;Statut foncier;20;Sécurisation sanitaire et réglementaire;3;Sécurisation sanitaire et réglementaire
12;Établissements public sensibles;17;Poids stratégique de la desserte;2;Poids stratégique de la desserte
307;Plan d’Urbanisme Directeur;24;Sécurisation sanitaire et réglementaire;3;Sécurisation sanitaire et réglementaire
100;Zones UNESCO;22;Valeur patrimoniale et réglementaire;5;Valeur patrimoniale et réglementaire
101;Zones protégées provinciales;22;Valeur patrimoniale et réglementaire;5;Valeur patrimoniale et réglementaire
102;KBA / ZICO;22;Richesse biologique et rareté;6;Richesse biologique et rareté
103;Espèces menacées;22;Richesse biologique et rareté;6;Richesse biologique et rareté
104;Espèces rares et menacées dont forêt sèche;22;Richesse biologique et rareté;6;Richesse biologique et rareté
105;Occupation sol (couvert végétal);21;État écologique et rôle protecteur;7;État écologique et rôle protecteur
106;Occupation sol (couvert forestier);21;État écologique et rôle protecteur;7;État écologique et rôle protecteur
107;Occupation sol (surfaces agricoles);23;Activités à risque;10;Activités à risque
200;Incendies cumulés;25;Perturbations majeures du milieu (Aléa);8;Perturbations majeures du milieu (Aléa)
201;Surface érosion;25;Fragilité des sols et transferts (chronique);9;Fragilité des sols et transferts (chronique)
202;Terrain nu;25;Fragilité des sols et transferts (chronique);9;Fragilité des sols et transferts (chronique)
203;Glissement terrain;26;Perturbations majeures du milieu (Aléa);9;Perturbations majeures du milieu (Aléa)
204;Espèces exotiques envahissantes (EEE);25;Fragilité des sols et transferts (chronique);8;Fragilité des sols et transferts (chronique)
300;ICPE;23;Activités à risque;10;Activités à risque
301;Zone d’exploitation minière;23;Activités à risque;10;Activités à risque
302;Urbanisation;24;Niveau d'artificialisation et densité;11;Niveau d'artificialisation et densité
304;Habitations;24;Niveau d'artificialisation et densité;11;Niveau d'artificialisation et densité
305;Franchissements;24;Infrastructures et risques de dégradation des eaux;12;Infrastructures et risques de dégradation des eaux
306;Linéaire routes;24;Infrastructures et risques de dégradation des eaux;12;Infrastructures et risques de dégradation des eaux
308;Autres IOTA;23;Activités à risque;10;Activités à risque
402;Vulnérabilité intrinsèque des eaux souterraines;26;Sensibilité naturelle;15;Sensibilité naturelle
401;Géologie;26;Sensibilité naturelle;15;Sensibilité naturelle
500;BBR;26;Tension des usages;13;Tension des usages
501;Pluviométrie;26;Apports naturels;14;Apports naturels
502;Niveau nappes;14;Apports naturels;14;Apports naturels
503;AODPE nombre;24;Tension des usages;13;Tension des usages
504;AODPE volume;24;Tension des usages;13;Tension des usages
505;Qualité eau;20;État sanitaire;16;État sanitaire
