id_relation;id_indicateur;nom_indicateur;id_ressource;nom_ressource;actif;commentaire
1;1;Capacité de production;1;Hydrométrie – Stations DAVAR / Bassins versants aux limnimètres;Oui;
2;2;Longueur réseau;2;unité de distribution (nom à vérifier);Oui;
3;3;Capacité réservoir;2;unité de distribution (nom à vérifier);Oui;
4;4;Traitement;2;unité de distribution (nom à vérifier);Oui;
5;5;Interconnexion;2;unité de distribution (nom à vérifier);Oui;
6;6;Population desservie;2;unité de distribution (nom à vérifier);Oui;
7;7;Statut AODPE;3;AODPE;Oui;
8;8;Statut PPE;4;Périmètres de protection des eaux;Oui;
9;9;Type ouvrage;5;Captages d'eau;Oui;
10;10;Statut captage;5;Captages d'eau;Oui;
11;100;Zones UNESCO;100;zones inscrites au patrimoine mondial de l'UNESCO;Oui;
12;101;Zones protégées provinciales;101;Aires protégées de la Province Sud;Oui;
13;101;Zones protégées provinciales;102;Aires protégées de la Province Nord;Oui;
14;101;Zones protégées provinciales;103;Aires protégées de la Province des Iles;Oui;
15;102;KBA / ZICO;104;Zones clés de biodiversité (KBA – Key Biodiversity Areas);Oui;
16;104;Espèces rares et menacées dont forêt sèche;105;Espèces rares et menacées;Oui;
17;104;Espèces rares et menacées dont forêt sèche;106;Forêt sèche – Indices de vulnérabilité;Oui;
18;105;Occupation sol (couvert végétal);107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes végétation);Oui;doublons TMF
19;105;Occupation sol (couvert végétal);108;Occupation du sol (dynamique world v1);Oui;doublons TMF
20;106;Occupation sol (couvert forestier);109;Cartographie des surfaces forestières de Nouvelle-Calédonie;Oui;
21;107;Occupation sol (surfaces agricoles);107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes végétation);Oui;Non identifié comme prioritaire
22;200;Incendies cumulés;110;Zones potentiellement brulées (VIIRS);Oui;
23;201;Surface érosion;111;Cartographie des formes érosives en Province Sud;Oui;
24;202;Terrain nu;107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes végétation);Oui;doublons dynamique world
25;202;Terrain nu;108;Occupation du sol (dynamique world v1);Oui;
26;203;Glissement terrain;112;Compilation des cartographies d'aléa mouvement de terrain communal à l'échelle 1:25 000ème.;Oui;
27;204;Espèces exotiques envahissantes (EEE);113;Espèces envahissantes ;Oui;
28;300;ICPE;114;Installations Classées pour la Protection de l'Environnement;non;
29;300;ICPE;115;Installations Classées pour la Protection de l'Environnement de la Province Sud;Oui;
30;300;ICPE;116;Installations Classées pour la Protection de l'Environnement de la Province Nord;Oui;
31;300;ICPE;117;Installations Classées pour la Protection de l'Environnement de la Province des Iles;Oui;
32;301;Zone d’exploitation minière;107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes végétation);Oui;
33;301;Zone d’exploitation minière;118;Exploitation minière en Nouvelle-Calédonie : centres miniers et usines métallurgiques;Oui;
34;301;Zone d’exploitation minière;119;cadastre minier actif (concessions, permis de recherches et réserves techniques provinciales) et échu;Non;
35;302;Urbanisation;120;Localités et zones bâties;Oui;
36;302;Urbanisation;129;BDTOPO-NC;Oui;
37;304;Habitations;128;Typologie de l’habitat;Oui;
38;305;Franchissements;121;Réseau routier BDROUTE-NC;Oui;
39;305;Franchissements;122;Franchissement du réseau hydrographique des BVAEP (nom à vérifier);Oui;
40;306;Linéaire routes;121;Réseau routier BDROUTE-NC;Oui;
41;402;Vulnérabilité intrinsèque des eaux souterraines;123;"BDLISA-NC - Vulnérabilité intrinsèque des eaux souterraines (gdb)
";Oui;
42;401;Géologie;124;Géologie au 1/200 000e – DIMENC/SGNC-BRGM 1981;Oui;
43;401;Géologie;125;Géologie au 1/50 000e – DIMENC/SGNC-BRGM 2013;Non;si utilisation du 200 000
44;500;BBR;6;Bilan Besoin Ressource (nom à vérifier);Oui;
45;501;Pluviométrie;126;Pluviométrie – Stations Météo France;Oui;
46;502;Niveau nappes;127;Base de données du sous-sol de NC (BDSSNC) – forages et hydrogéologie;Oui;
47;503;AODPE nombre;3;AODPE;Oui;
48;504;AODPE volume;3;AODPE;Oui;
49;505;Qualité eau;7;Base de données ATYA (nom à vérifier);Oui;
50;11;statut foncier;130;Parcelles cadastrales;Oui;
51;307;PUD;131;PUD PSUD;Oui;
51;307;PUD;131;PUD PNORD;Oui;
;12;Établissements sensibles;133;;Oui;
;308;Autres IOTA;134;;Oui;
