id_ressource;nom_ressource;origine;distributeur;url;statut_disponibilite;couverture_spatiale;actualisation;type_source;description_ressource;documentation_ressource;contraintes_ressource
1;Hydrométrie – Stations DAVAR / Bassins versants aux limnimètres;DAVAR;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/01ed729cd25a4927823a228a9770b2b3;Disponible;Nouvelle-calédonie;inconnu;vecteur;Métadonnées stations de jaugeage et limnimètres DAVAR;;Donnée non systématiquement disponible ou homogène selon les captages, nécessitant une consolidation des sources DAVAR.
2;unité de distribution (nom à vérifier);DASS;;Pas d’accès API;Interne;;inconnu;inconnu;Données DASS à vocation administrative interne – contacter DASS;https://dass.gouv.nc/sites/default/files/atoms/files/guide_1_-_description_de_l_unite_de_distribution_et_de_son_fonctionnement.pdf;"Données issues de bases non relationnelles nécessitant une structuration et une gestion des doublons ; les liens entre captage et unité de distribution sont à modéliser. Les informations sont hétérogènes (traitement, population) et nécessitent une standardisation, avec des incertitudes sur la répartition réelle des données estimées. L'effet de certains indicateurs (ex. interconnexion) sur la criticité reste ambigu et nécessite un arbitrage méthodologique."
3;AODPE;DAVAR;GEOREP;à identifier;A vérifier;Nouvelle-calédonie;Prévue en 2026/2027;inconnu;Données administratives DAVAR – contacter DAVAR;;"Donnée fiable mais nécessitant une mise à jour régulière ; la qualité des déclarations de volumes et le suivi des évolutions d'autorisations conditionnent la fiabilité de l'indicateur."
4;Périmètres de protection des eaux;DAVAR;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/b5a303d89f2f407e8c194983c86418a7/about;Disponible;Nouvelle-calédonie;inconnu;vecteur;Données administratives DAVAR;;Processus d’instruction long avec état intermédiaire. 
5;Captages d'eau;DAVAR;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/89e23d7a430b4e49b67fbd6f8a79bb7b/about;Disponible;Nouvelle-calédonie;inconnu;vecteur;Données administratives DAVAR ;;"Les typologies de captages doivent être standardisées pour assurer une comparaison cohérente ; certaines informations sont descriptives et susceptibles d'évoluer sans impact direct sur la criticité. Verifier que la données est bien à jour du GEOREP."
6;Bilan Besoin Ressource;DAVAR;GEOREP;https://www.arcgis.com/home/item.html?id=6d48f295daf5471a842054d9e050765d;Disponible;Nouvelle-calédonie;inconnu;inconnu;La couche BBR (bilan besoin / ressources) est calculée à partir des débits caractéristiques d’étiage médian (DCE2) auquel sont soustraits l'ensemble des prélèvements d’eau autorisés.;https://georep.nc/actualites/nouvelle-donnee-en-hydrologie-le-bilan-besoin-ressource;Donnée issue d’un modèle nécessitant validation et mise à jour régulière.
7;Base de données ATYA;DAVAR;;Pas d’accès API;Interne;;inconnu;inconnu;Données DASS/ATYA diffusion interne – contacter DASS;;Disponibilité limitée et complexité d’interprétation des données.
100;zones inscrites au patrimoine mondial de l'UNESCO;CEN;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/e17f6c38b47a435e9e73c102a7a1b933/about;Disponible;Nouvelle-calédonie;ponctuelle;vecteur;"Zone terrestres, qui représentent les bassins versants débouchant dans les zones inscrites dites ""zones de bien""";;Périmètres parfois imprécis à l'échelle locale.
101;Aires protégées de la Province Sud;PSUD;PSUD;https://www.province-sud.nc/open/metadonnees/8a8186dd9816d2da019c8d998c7700a0;Disponible;Province Sud;inconnu;vecteur;Aires terrestres protégées à compiler depuis les sources des 3 provinces;;Hétérogénéité des périmètres selon les provinces.
102;Aires protégées de la Province Nord;PNORD;PNORD;à identifier;Disponible;Province Nord;inconnu;vecteur;Aires terrestres protégées à compiler depuis les sources des 3 provinces;;Hétérogénéité des périmètres selon les provinces.
103;Aires protégées de la Province des Iles;PIL;PIL;à identifier;A vérifier;Province des Iles;inconnu;vecteur;Aires terrestres protégées à compiler depuis les sources des 3 provinces;;Hétérogénéité des périmètres selon les provinces.
104;Zones clés de biodiversité (KBA – Key Biodiversity Areas);CEN;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/934b1cad2b9045d8ac2c4d7b0a524f2e/about;Disponible;Nouvelle-calédonie;ponctuelle;vecteur;Standards UICN;;Données issues de bases internationales, à vérifier pour la Nouvelle-Calédonie.
105;Espèces rares et menacées (nom à vérifier);Endemia;ENDEMIA;à identifier;Disponible;Nouvelle-calédonie;inconnu;vecteur;Couche espèces menacées non publiée sur GéoRep – consulter directement ENDEMIA;;Données ponctuelles et incomplètes selon les groupes taxonomiques.
106;Forêt sèche – Indices de vulnérabilité;CEN;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/b9304b72009f45e6aa4fc2fab702e98b;Disponible;Nouvelle-calédonie;inconnu;vecteur;;;Cartographie partielle selon les provinces.
107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes végétation);OEIL/GOUV;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/b1efecab06904c9996127a3ff5bdc586/about;Disponible;Nouvelle-calédonie;ponctuelle;vecteur;MOS 2014 (24 classes niv.3) + évolution provinces Nord et Îles Loyauté;;"Résolution et nomenclature variables selon les millésimes, limitant la comparabilité temporelle. L'indicateur repose sur une source unique (MOS) nécessitant une validation de la qualité et de la mise à jour ; l'accès aux données peut être limité selon les usages (données sensibles)."
108;Occupation du sol (dynamique world v1);Dynamic World V1;GEE;developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1;Disponible;Nouvelle-calédonie;5 jours;Raster;Identifier la classe correspondante sur la source et nécessite l’utilisation d’une carte de synthèse annuelle ou saisonnière;;"Résolution variable selon les millésimes ; l'indicateur repose sur une source unique nécessitant une validation de la qualité et de la mise à jour régulière."
109;Cartographie des surfaces forestières de Nouvelle-Calédonie;TMF;GEE;https://forobs.jrc.ec.europa.eu/TMF;Disponible;Nouvelle-calédonie;1 an;Raster;Utilisation de la donnée sans les classes des dynamiques;;Distinction perturbé/non perturbé à affiner selon le millésime.
110;Zones potentiellement brulées (VIIRS);OEIL;OEIL;https://geoportail.oeil.nc/geoportal/catalog/search/resource/details.page?uuid=%7B5D28AFE1-541C-4102-84F0-6959F769FA78%7D;Disponible;Nouvelle-calédonie;Tous les jours;vecteur;Surfaces potentiellement brûlées VIIRS depuis 2012. Il n’existe pas de source officielle qui fusionne les 2 capteurs VIIRS (SUOMI et JPSS);;Nécessité de faire une fusion des capteurs selon une stratégie cohérente  à partir des différents capteurs
111;Cartographie des formes érosives en Province Sud;OEIL;OEIL;https://geoportail.oeil.nc/cartenvironnement/?mapresources=FORMES_EROSIVES_2018;Disponible;Province Sud;ponctuelle;Raster;Érosion identifié et caractérisé uniquement sur la province Sud par imagerie satellite très haute résolution 2018/2019;;Données non homogènes spatialement, limitant la comparabilité à l’échelle du territoire.
112;Compilation des cartographies d'aléa mouvement de terrain communal à l'échelle 1:25 000ème.;DIMENC;GEOREP;https://dtsi-sgt.maps.arcgis.com/home/item.html?id=c472c49f798046b9b2c716c83523c324;Disponible;15 communes;inconnu;Raster;Aléa (très faible, faible, modéré, élevé);;Donnée modélisée et interprétée, non directement observée.
113;Espèces envahissantes ;ANCB;patrick Barrière ANCB;Pas d’accès API;Disponible;Nouvelle-calédonie;inconnu;vecteur;données régionalisées par communes, avec des bilans et des résultats de chasse;;Absence de base de données consolidée et incertitude sur la disponibilité (voir ANCP)
