id_indicateur;nom_famille;Nom_theme;groupe;nom_indicateur;description_indicateur_utilisateur;objectif_INFO;objectif_AMC;Analyse_multicriteres
1;Enjeu;Enjeux AEP;Importance captage;Capacité de production;"Estimation de la quantité d'eau prélevable au niveau de la ressource en respectant un objectif de gestion visant à laisser en tout temps 50% de la ressource s'écouler vers l'aval, notamment en période d'étiage médian. Cette information s'appuie sur la ressource ""Hydrométrie – Stations DAVAR / Bassins versants aux limnimètres"" produite par la DAVAR, qui regroupe les métadonnées des stations de jaugeage et les limnimètres territoriaux.";Informer sur la quantité d’eau mobilisable par le captage en conditions normales et contraintes afin d’évaluer la disponibilité potentielle de la ressource en eau.;Évaluer l’impact sur la disponibilité de la ressource en eau, une faible capacité de production augmentant la criticité en situation de tension.;oui
6;Enjeu;Enjeux AEP;Importance captage;Population desservie;Estimation du nombre d'habitants rattachés à l'unité de distribution (UD) alimentés par la ressource. Le calcul s'appuie sur les fichiers administratifs internes de suivi des abonnés issus de la base de données de l'unité de distribution de la DASS.;Informer sur le nombre d’habitants dépendants du captage afin de caractériser l’importance des usages associés.;Évaluer l’importance stratégique du captage pour l’alimentation en eau, une population élevée augmentant la criticité.;oui
10;Enjeu;Enjeux AEP;Importance captage;Statut captage;"Établit s'il s'agit d'une ressource principale (actif), d'une ressource utilisée occasionnellement (secours) ou d'une ressource abandonnée. Cette donnée mobilise la ressource ""Captages d'eau"" produite par la DAVAR décrivant l'état d'utilisation opérationnelle de chaque point d'eau.";Informer sur le rôle opérationnel du captage (actif, secours, abandonné) afin de contextualiser son utilisation.;Évaluer l’importance fonctionnelle du captage dans le système d’alimentation en eau, un captage principal augmentant la criticité.;oui
12;Enjeu;Enjeux AEP;Importance captage;Établissements public sensibles;Estimation du nombre d'établissements sensibles (hôpitaux, dispensaires, écoles) rattachés à l'unité de distribution alimentés par la ressource. Aucun fournisseur de ces données n’est pour le moment défini et ces données pourraient être issues des inventaires des services publics et des infrastructures prioritaires dépendantes de la ressource en eau. Ces données sont rattaché au Unité de Distribution (voir CDE ou DASS).;Informer sur la présence d’établissements sensibles dépendants du captage afin de caractériser les usages prioritaires.;Évaluer l’importance stratégique de la ressource en eau pour les services essentiels, un nombre élevé augmentant la criticité.;oui
2;Enjeu;Enjeux AEP;Niveau infrastructures;Longueur réseau;Établit la longueur approximative des réseaux d'adduction et de distribution de l'unité de distribution (UD) associée à la ressource. Ces données proviennent des registres de l'unité de distribution gérés par la DASS, initialement destinés à une vocation administrative interne décrivant les infrastructures linéaires.;Informer sur l’étendue des réseaux d’adduction et de distribution dépendants du captage afin de caractériser l’importance des infrastructures alimentées.;Évaluer l’importance stratégique des infrastructures dépendantes de la ressource en eau, un réseau étendu augmentant la criticité en cas de défaillance.;oui
3;Enjeu;Enjeux AEP;Niveau infrastructures;Capacité réservoir;Établit le volume de stockage des réservoirs d'eau de l'unité de distribution (UD) associée à la ressource. Cet indicateur mobilise les informations administratives internes de la DASS relatives aux capacités de stockage d'eau potable des unités de distribution.;Informer sur la capacité de stockage d’eau associée au captage afin de comprendre la capacité de régulation du système.;Évaluer la résilience de la ressource en eau face aux aléas, un faible stockage augmentant la criticité.;oui
4;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Traitement;Définit le type de traitement d'eau associé à la ressource en eau avant sa mise en distribution. La donnée est issue des fichiers de l'unité de distribution de la DASS, qui décrivent le fonctionnement technique et sanitaire des installations de traitement.;Informer sur le niveau de traitement appliqué à l’eau avant distribution afin de caractériser la sécurisation sanitaire du captage.;Évaluer les risques liés à la qualité de la ressource en eau, une absence ou insuffisance de traitement augmentant la criticité sanitaire.;oui
7;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Statut AODPE;"Établit le statut de l'autorisation de prélèvement d'eau de la ressource et les informations associées, comme le numéro d'arrêté et le volume autorisé. Cet indicateur de conformité s'appuie sur la base ""AODPE"" de la DAVAR, qui centralise les données administratives relatives aux autorisations.";Informer sur le statut réglementaire du prélèvement d’eau afin de caractériser la conformité administrative du captage.;Évaluer les risques réglementaires liés à la ressource en eau, une absence d’autorisation augmentant la criticité.;oui
8;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Statut PPE;"Établit le statut du périmètre de protection établi pour la ressource en fonction du type d'arrêté le définissant (État, GNC ou Aucun). L'indicateur exploite la ressource ""Périmètres de protection des eaux"" de la DAVAR pour refléter l'état d'avancement des dossiers administratifs de protection réglementaire.";Informer sur le niveau de protection réglementaire du captage afin de comprendre son niveau de sécurisation face aux pressions.;Évaluer la vulnérabilité de la ressource en eau face aux pressions extérieures, une absence de protection augmentant la criticité.;oui
11;Enjeu;Enjeux AEP;Sécurité sanitaire et règlementaire;Statut du foncier;"Établit la nature foncière de la parcelle occupée par le prélèvement d'eau, distinguant les terrains publics, privés ou coutumiers. Cet indicateur utilise la ressource ""Parcelle cadastrale"" produite par la DITTT pour identifier le propriétaire du terrain d'implantation.";Informer sur le contexte foncier du captage afin de caractériser les conditions d’accès et de gestion.;Évaluer les contraintes foncières pouvant affecter la gestion de la ressource en eau, certaines situations augmentant la criticité.;oui
5;Enjeu;Enjeux AEP;Vulnérabilité structurelle;Interconnexion;Établit la présence de connexions avec d'autres unités de distribution (UD) pouvant servir de secours. Cet indicateur utilise les informations de l'unité de distribution gérées par la DASS pour identifier la présence de liaisons physiques entre les réseaux d'eau.;Informer sur la présence ou l’absence de connexions avec d’autres réseaux d’eau afin de comprendre les possibilités de secours.;Évaluer la sécurisation de la ressource en eau, l’absence d’interconnexion augmentant la criticité en cas de défaillance.;oui
9;Enjeu;Enjeux AEP;Vulnérabilité structurelle;Type ouvrage;"Établit le type de ressource en eaux en fonction de l'ouvrage, tel que le captage superficiel, le forage ou la tranchée drainante. L'indicateur s'appuie sur la base ""Captages d'eau"" de la DAVAR répertoriant les caractéristiques techniques des ouvrages de prélèvement.";Informer sur le type d’ouvrage de captage afin de caractériser ses caractéristiques techniques.;Évaluer la vulnérabilité intrinsèque de la ressource en eau, certains types d’ouvrages augmentant la criticité.;oui
105;Enjeu;Enjeux Environnementaux;Zone naturelle;Occupation sol (couvert végétal);Mesure la superficie des intersections avec des zones de couvert végétal. L'indicateur croise le MOS 2014 (OEIL/GOUV) et la ressource Dynamic World (Google) pour fournir une description détaillée des classes de végétation et de leur évolution.;Informer sur la couverture végétale du bassin versant afin de caractériser l’état du milieu.;Évaluer la capacité du milieu à limiter les transferts vers la ressource en eau, une faible couverture augmentant la criticité.;oui
