EPIC;ID User Story;Libellé User Story;MVP;JH bas;JH haut;Option AMC;Commentaires
EPIC 1 – Gestion des données;US1.1;Importer des données via fichier;TRUE;4;6;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1 – Gestion des données;US1.3;Planifier des imports simples;TRUE;3;4;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1 – Gestion des données;US1.4;Normaliser les données;TRUE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1 – Gestion des données;US1.5;Gérer les erreurs d'import;TRUE;4;6;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1 – Gestion des données;US1.6;Historiser les données;TRUE;2;3;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1 – Gestion des données;US1.2;Connecter une API externe;FALSE;4;6;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1 – Gestion des données;US1.7;Rejouer un traitement;FALSE;3;4;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.1;Enregistrer un jeu de données dans le catalogue;TRUE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.2;Associer des métadonnées à un jeu de données;TRUE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.3;Modifier les métadonnées d'un jeu de données;FALSE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.4;Consulter les informations d'un jeu de données;TRUE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.5;Rechercher un jeu de données dans le catalogue;FALSE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.6;Filtrer les jeux de données selon des critères;FALSE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
EPIC 1bis – Catalogage des données;US1bis.7;Visualiser les relations entre indicateur et données sources;TRUE;3;5;;Estimation AMOA indicative — non publiée, calibrage global
